,id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV
id,1.0,-0.0021900013681781243,0.004383931698320658,0.013857610715562574,0.009518550834669886,0.012718949820240145,0.00578966865302082,0.010235026209986004,0.005708837909342807,0.011277799641368942,0.014390980894522658,0.011508751966475179,-0.005980038253600485,-0.0024576685327096664,0.003741360815836274,-0.01216193698512455,-0.012571174683207224,-0.005397973935383827,0.004204971687844592,-0.01548350001952479,-0.004037736771294064,-0.005010903840864002,0.0010568893339529307,0.006227614413522041,0.008500872348835857,0.013609002673262097,0.035975909569753606,-0.005875226742533915,-0.005879640568415183
IP_ES_25_N1,-0.0021900013681781243,1.0,-0.0012046179798168922,-0.00016019239887060451,0.0042913782205642745,0.00336673097952323,0.002371750420565055,0.005780908249681264,0.013507928710036138,-0.011744998941341782,-0.005743234458307481,0.002577042301473993,-0.014275196059112401,-0.0010052091686043592,0.0038634754215570006,0.0021756179287922665,0.0004258935876118564,0.00215677110834983,-0.0036619693540690733,-0.017975911636037727,-0.0019340302954790486,0.00015062096571850787,0.0038033746908969824,-0.0011796270435726122,0.006352966895380195,0.008537350369125202,-0.0536662922042429,-0.00019459615802833855,-0.00019270861558744957
Z3_IB_4_N1,0.004383931698320658,-0.0012046179798168922,1.0,0.7835637845952784,0.8757519015320797,0.7636964228049088,0.5675877028402888,0.5459172896958912,0.22713794238793,0.0072207473480079745,0.009366364125662474,0.007080189258104157,-0.009568739107756343,-0.00019856112058491788,0.0015795365016820547,-0.0021109221157107378,-0.5435276566979134,0.0014769270023794062,-0.004921345031543325,-0.3405249136939704,-0.010365704011543424,-0.00242292750428608,0.0031104906818149964,-0.024830825446606662,0.37574877087533753,-0.20194385270857287,0.0031896586993320547,-0.04540931751979856,-0.045421057859497335
Z1_IB_10_N1,0.013857610715562574,-0.00016019239887060451,0.7835637845952784,1.0,0.9066518019293148,0.8633757220489788,0.5274254513931715,0.5292663715182391,0.2887956387641758,0.015364799581764718,0.014388875061414015,0.017028876685993483,-0.007007112477640696,0.00013777243215051186,0.001283328023190765,0.006541136185232118,-0.6385288419072882,0.0016783341730013058,-0.004445143746023733,-0.40383715437772744,-0.018892756148739243,-0.0031064123880907056,0.0016045409243839544,-0.0346592131101426,0.41366773976017335,-0.19151656265299963,-0.03176507023154275,-0.0554501821882048,-0.05546008296634443
Z1_IB_5_N1,0.009518550834669886,0.0042913782205642745,0.8757519015320797,0.9066518019293148,1.0,0.8631648373943728,0.5881701008385789,0.5841256587604956,0.25933428887265786,0.013500646050006792,0.010306703687247506,0.01124837667630314,-0.00788278972230399,3.335636539603923e-05,0.000795630381873912,0.0031024451464059643,-0.6061476560195014,0.002186674031366606,-0.00421814043311549,-0.38603260011723417,-0.0164704814146313,-0.003006047085467907,0.001581375093916904,-0.030816988442658025,0.409933068649981,-0.1901428590798089,-0.0333980331742771,-0.04926097815472783,-0.049270908344190914
Z3_IB_8_N1,0.012718949820240145,0.00336673097952323,0.7636964228049088,0.8633757220489788,0.8631648373943728,1.0,0.5082018163946727,0.5150942590107969,0.2552752992253552,0.01864434136520443,0.010269591650399422,0.018806637938919967,-0.00872318089790027,0.0006316094737546788,0.0020028869088611423,-0.0010603477065592687,-0.5838458326345407,0.0036430897809452247,-0.004801981141348966,-0.3752767626589389,-0.010300144723205285,-0.001748362528569087,0.004018628050060952,-0.023194175139083426,0.3981165118138635,-0.20776293970251225,0.01886094063573073,-0.05619205046901734,-0.05620123379755277
ECI_IB_4_N1,0.00578966865302082,0.002371750420565055,0.5675877028402888,0.5274254513931715,0.5881701008385789,0.5082018163946727,1.0,0.8656503914968309,0.17896288095682603,0.022786635066992817,0.027223196652789067,0.02432513783705902,-0.002455805093996922,0.00317989056047082,0.006750588025860506,-0.01711306134185978,-0.4177060958850838,-0.005269403335054988,-0.005367109799336865,-0.28110407126573,-0.010883218955629699,-0.0008864011488039853,0.003173124947398004,-0.010342316992416088,0.2615173052697317,-0.11231377425645836,-0.006110633085460578,-0.04126221861125792,-0.04126957531039337
ECI_IB_5_N1,0.010235026209986004,0.005780908249681264,0.5459172896958912,0.5292663715182391,0.5841256587604956,0.5150942590107969,0.8656503914968309,1.0,0.18235664600822832,0.02609077529447429,0.024182880046262727,0.027199267524726265,-0.007037776252908644,0.0031416181474144315,0.005121754162868657,-0.011462359873102644,-0.4140072305086909,-0.002483226480593178,-0.006741589535117406,-0.28012293080281014,-0.009132395093187558,-0.005096702216420774,-7.0472289093667955e-06,-0.009073951753039529,0.2565348774157063,-0.1079880098188566,0.0011115198328411169,-0.04515375037616993,-0.04516099060161085
Gs(U)_IB_12_N1,0.005708837909342807,0.013507928710036138,0.22713794238793,0.2887956387641758,0.25933428887265786,0.2552752992253552,0.17896288095682603,0.18235664600822832,1.0,0.06699940674561626,0.0577592532722473,0.06196922324615013,-0.008904859106145361,-0.0004367333496517751,0.003363850509738733,0.0011831344481085986,-0.2573170730500288,0.0045912727611946815,0.005306408073148083,-0.17954934859547483,-0.003374723672804927,0.0009564752046726595,0.004461378649095601,0.002909763661219578,0.24634399723046013,0.035191496986405654,0.10361026192624749,-0.02773203404650943,-0.02775074067409327
Gs(U)_IB_68_N1,0.011277799641368942,-0.011744998941341782,0.0072207473480079745,0.015364799581764718,0.013500646050006792,0.01864434136520443,0.022786635066992817,0.02609077529447429,0.06699940674561626,1.0,0.21916666326172818,0.216400338677918,-0.00511858046862947,0.014492140964539033,-0.012444621547202274,-0.01947738027411352,-0.04023633235397298,-0.019239667768296005,0.0046196565407164115,-0.21377113272439538,0.0039770226751105475,0.0028407562194176675,0.0045949097576117705,-0.017845467873951477,0.28325249601177704,0.013314951839230734,0.09637593140669821,-0.04639171299614593,-0.04641254262494534
