,id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV
id,1.0,0.007704667796596102,-0.0026372457075490704,0.005108158807341849,0.0052792066553161475,0.0029681515253357034,0.005351726488732971,0.012050699490235321,0.0020601283949392055,0.012238340588160817,0.017403564637134085,0.009089597928730566,-0.005337060511843221,0.017760624377440783,-0.015596224642332129,-0.02277624520155657,-0.006903952792348197,-0.015913106720007182,-0.0016126277128110037,-0.013985396920599823,0.0032449338590521504,-0.008372205970188963,-0.0024862795382433914,-0.005507421449602585,0.004080926931230929,0.012891761746150456,0.0368336601986967,0.003301952762318287,-0.007566266902034956
IP_ES_25_N1,0.007704667796596102,1.0,0.01298216446395862,0.02043410229644366,0.02074387026666849,0.028609142990972454,0.018909848331511797,0.019437224919577337,0.03486522897295549,-0.00493874927624731,0.0012257176310656605,0.000444579987903521,-0.033312509032044905,0.02417492478509651,-0.0031996061605273946,-0.0002859133797900136,-0.020437489976793743,-0.008584630852651218,-0.01352388790782415,-0.036287382743421616,0.01362930419776909,-0.017620795572872636,-0.003351460465757512,-0.009535804001388462,0.01052924856186814,0.023292515794306745,0.03845105596327036,0.02364651208086612,0.012960156504900637
Z3_IB_4_N1,-0.0026372457075490704,0.01298216446395862,1.0,0.08711550510799927,0.15665244485540297,0.15512291532195327,0.3089867544074555,0.26970281410869557,0.08563202374110834,-0.008311062894386673,0.001558524384475137,-0.0025414894762323353,-0.18908234927100734,0.0560817738046974,-0.002116132586199568,-0.028598543948541284,-0.14422080125269657,-0.02478043199897071,-0.04667918076047967,-0.10081336377909511,-0.004091213395929285,-0.028939809470566773,-0.05542787932317749,0.027714660617146454,0.13572729366083988,-0.1363451524404092,0.12685438651449682,0.03251904997966181,0.00864525541241628
Z1_IB_10_N1,0.005108158807341849,0.02043410229644366,0.08711550510799927,1.0,0.1456961361864919,0.11491633557471757,0.11763920244438367,0.12199864114401902,0.38399027539125324,0.042646615923957694,0.062107670222197424,0.05473329014859585,-0.2778768589469804,0.0586275843298828,-0.011676126740385684,0.02406705299644528,-0.11699238285438467,0.01337034623823201,-0.015755009975134498,-0.10770590676722219,-0.03193501714901127,-0.029317873559667765,0.02184857391627223,0.006002088861379729,0.25592139196654573,0.07526252094401549,0.05620109087407861,-0.045453853685780324,-0.02999088580967243
Z1_IB_5_N1,0.0052792066553161475,0.02074387026666849,0.15665244485540297,0.1456961361864919,1.0,0.10056671499034091,0.18545394884756194,0.19069465309946862,0.1327739086106675,0.04843885821375727,0.045069919763912315,0.04165316262504311,-0.27485989031057984,0.054768779153339706,0.008308347974711203,0.02649891468435788,-0.12618474504736577,0.015518649654935353,-0.029695847231682462,-0.11484643652230843,-0.02953691770717589,-0.02928681104677001,0.019530636949320026,-0.004944733290266517,0.26127930611635,0.05919448048223858,0.05072452446925249,-0.03729389803671312,-0.03225952498005272
Z3_IB_8_N1,0.0029681515253357034,0.028609142990972454,0.15512291532195327,0.11491633557471757,0.10056671499034091,1.0,0.11791035520801245,0.1399318910450212,0.11050201388942561,0.00024395221624141773,-0.001082839249358782,-0.004424243037295751,-0.18753088819558378,0.042628968119239115,-0.015602014705891449,-0.022180640820936497,-0.16183396632269204,-0.01994289911879,-0.05230080969497943,-0.11708516011844514,-0.02276891909717621,-0.04702891476500669,-0.06992092969102501,0.02673526682806483,0.13166228862364007,-0.1260748482163626,0.1430467098547892,0.023932993117838534,0.01958983789986281
ECI_IB_4_N1,0.005351726488732971,0.018909848331511797,0.3089867544074555,0.11763920244438367,0.18545394884756194,0.11791035520801245,1.0,0.8345981260659701,0.12613968085487798,0.02307645829836772,0.020936351692187948,0.0173757562816236,-0.1586616557207336,0.06932848419645042,-0.008193999441225838,-0.0703339457524139,-0.1424193587105555,-0.038060928518986244,-0.049116116871182884,-0.1656619272228255,0.01532114816966005,0.00693467266168539,0.07038633523524708,-0.03578604095681504,0.11762943151530411,-0.011754199264777844,0.015245520226789013,0.04425587934251775,0.03841358372581842
ECI_IB_5_N1,0.012050699490235321,0.019437224919577337,0.26970281410869557,0.12199864114401902,0.19069465309946862,0.1399318910450212,0.8345981260659701,1.0,0.1295796576936515,0.02053144790509374,0.020850970313031326,0.02014584528828187,-0.15697436268140413,0.06379661960990798,-0.010922951408856364,-0.06826631581440183,-0.13762144761001327,-0.03717552171906461,-0.05487805443350906,-0.17147807177346686,0.01431856238982607,0.007605566724924422,0.07162976426942817,-0.043135341144068126,0.11724902493083712,-0.005834913677733779,0.018101258996427724,0.043359920828229204,0.03110781565262131
Gs(U)_IB_12_N1,0.0020601283949392055,0.03486522897295549,0.08563202374110834,0.38399027539125324,0.1327739086106675,0.11050201388942561,0.12613968085487798,0.1295796576936515,1.0,0.05551389777028736,0.07166693508827116,0.06609507737999223,-0.16913509024829085,0.03219567922796248,0.014333603932161102,-0.012325197743853813,-0.11838843133582236,0.0040736115076614975,-0.051855005580832406,-0.1022561685336803,-0.03550344689562252,0.0024974054973057563,0.030244429611106023,0.005866846831429844,0.21680553838527342,0.0806855737811506,0.1565584044812158,0.0036905517023947797,0.0024593843101759195
Gs(U)_IB_68_N1,0.012238340588160817,-0.00493874927624731,-0.008311062894386673,0.042646615923957694,0.04843885821375727,0.00024395221624141773,0.02307645829836772,0.02053144790509374,0.05551389777028736,1.0,0.16084077425647506,0.17262698657295594,-0.004105496797068483,-0.00040091733140973005,-0.0037773462147461883,-0.022316451539933727,-0.020322468128790894,0.005904621489500328,-0.0372661583312939,-0.10110701297297145,-0.037548193385319915,-0.005368930347207166,0.019794953064700603,-0.0076810389643140915,0.2341859246988957,0.0657485407338298,0.1327253459680743,0.0012714152695043942,-0.007343095670658241
