,feature,score
25,IP_NO_PLR_S,143.0
0,IP_ES_25_N1,29.0
14,Pb_NO_sideR35_S,29.0
23,ISA_NO_NPR_S,26.0
26,Pb_NO_PCR_V,24.0
19,Z3_NO_UCR_S,22.0
21,ECI_NO_UCR_CV,21.0
17,Z2_NO_AHR_CV,10.0
18,Gs(U)_NO_ALR_SI71,8.0
12,HP_NO_sideL35_CV,7.0
22,Pa_NO_BSR_SI71,7.0
20,Z3_NO_UCR_N1,7.0
5,ECI_IB_4_N1,6.0
3,Z1_IB_5_N1,4.0
24,Z3_NO_NPR_V,4.0
1,Z3_IB_4_N1,4.0
9,Gs(U)_IB_58_N1,2.0
10,Gs(U)_IB_60_N1,2.0
11,Z1_NO_sideL35_M,2.0
27,ECI_NO_PCR_CV,1.0
16,Z1_NO_PRT_CV,1.0
4,Z3_IB_8_N1,1.0
7,Gs(U)_IB_12_N1,1.0
6,ECI_IB_5_N1,1.0
13,Z1_NO_sideR35_CV,0.0
8,Gs(U)_IB_68_N1,0.0
2,Z1_IB_10_N1,0.0
15,IP_NO_sideL35_SI71,0.0
