,method-balance,n_features,optimal-depth,pre@recall50
26,pca_rbf-ANOVA,7,7,0.07568525842083731
110,pca_poly-ANOVA,8,7,0.07566462167689161
94,pca_poly-ANOVA,4,7,0.07565430752453653
6,pca_rbf-ANOVA,2,7,0.07564399618372632
114,pca_poly-ANOVA,9,7,0.07556949938616833
106,pca_poly-ANOVA,7,7,0.07556949938616833
38,pca_rbf-ANOVA,10,7,0.07555919258046917
102,pca_poly-ANOVA,6,7,0.07555919258046917
14,pca_rbf-ANOVA,4,7,0.07554888858584481
90,pca_poly-ANOVA,3,7,0.07554888858584481
86,pca_poly-ANOVA,2,7,0.07554888858584481
30,pca_rbf-ANOVA,8,7,0.07553858740114536
82,pca_poly-ANOVA,1,7,0.07553858740114536
118,pca_poly-ANOVA,10,7,0.07552828902522155
2,pca_rbf-ANOVA,1,7,0.07552828902522155
22,pca_rbf-ANOVA,6,7,0.07551799345692475
18,pca_rbf-ANOVA,5,7,0.07551799345692475
34,pca_rbf-ANOVA,9,7,0.07551799345692475
98,pca_poly-ANOVA,5,7,0.07551799345692475
10,pca_rbf-ANOVA,3,7,0.075507700695107
