,feature,score
14,Pb_NO_sideR35_S,0.039352666522746105
23,ISA_NO_NPR_S,0.03751948952499927
17,Z2_NO_AHR_CV,0.023544486614757724
18,Gs(U)_NO_ALR_SI71,0.020960465007503676
12,HP_NO_sideL35_CV,0.019823126317184088
22,Pa_NO_BSR_SI71,0.019080022830498426
3,Z1_IB_5_N1,0.014593003471495239
10,Gs(U)_IB_60_N1,0.009143600114411154
16,Z1_NO_PRT_CV,0.006567022083425364
7,Gs(U)_IB_12_N1,0.006264704864134433
4,Z3_IB_8_N1,0.006137353777923245
15,IP_NO_sideL35_SI71,0.0045249940953029765
8,Gs(U)_IB_68_N1,0.003026814914539923
2,Z1_IB_10_N1,0.001073613126664773
13,Z1_NO_sideR35_CV,-0.004711977051072772
6,ECI_IB_5_N1,-0.005728182448752469
27,ECI_NO_PCR_CV,-0.007241819813531252
11,Z1_NO_sideL35_M,-0.009886238877195645
9,Gs(U)_IB_58_N1,-0.010218944966108031
24,Z3_NO_NPR_V,-0.01433011248793258
1,Z3_IB_4_N1,-0.014692343885224241
5,ECI_IB_4_N1,-0.017600708702288845
20,Z3_NO_UCR_N1,-0.01897376764363583
21,ECI_NO_UCR_CV,-0.0335493381506778
19,Z3_NO_UCR_S,-0.03471379420524664
26,Pb_NO_PCR_V,-0.03571889923730781
0,IP_ES_25_N1,-0.03986748404835995
25,IP_NO_PLR_S,-0.08770435801428939
