,method-balance,n_features,optimal-depth,pre@recall50
51,pca_cos-RFECV,3,2,0.0759400705052879
19,pca_rbf-RFECV,5,3,0.07620181574639083
11,pca_rbf-RFECV,3,3,0.07620041753653445
23,pca_rbf-RFECV,6,3,0.07620041753653445
55,pca_cos-RFECV,4,4,0.07792404297170526
67,pca_cos-RFECV,7,4,0.07761512656297652
75,pca_cos-RFECV,9,4,0.07761512656297652
43,pca_cos-RFECV,1,4,0.07714915503306392
79,pca_cos-RFECV,10,4,0.07688882291821285
63,pca_cos-RFECV,6,4,0.07688882291821285
71,pca_cos-RFECV,8,4,0.07675534234627127
3,pca_rbf-RFECV,1,4,0.07663183401484173
