,feature,score
14,Pb_NO_sideR35_S,0.039309168598367944
23,ISA_NO_NPR_S,0.03735188398781288
17,Z2_NO_AHR_CV,0.02964639166941297
12,HP_NO_sideL35_CV,0.02417403594379846
18,Gs(U)_NO_ALR_SI71,0.02156607904492158
3,Z1_IB_5_N1,0.01987484433839131
22,Pa_NO_BSR_SI71,0.019038934271950345
10,Gs(U)_IB_60_N1,0.009322326789428207
7,Gs(U)_IB_12_N1,0.007010034488926266
4,Z3_IB_8_N1,0.006119480245201021
8,Gs(U)_IB_68_N1,0.005848882976199483
15,IP_NO_sideL35_SI71,0.0034289207536133807
2,Z1_IB_10_N1,0.003321084664010547
16,Z1_NO_PRT_CV,-0.0034781344092217475
27,ECI_NO_PCR_CV,-0.004953639810119048
6,ECI_IB_5_N1,-0.006389575948992354
13,Z1_NO_sideR35_CV,-0.009470195781383509
9,Gs(U)_IB_58_N1,-0.009837072274191243
1,Z3_IB_4_N1,-0.01406666619635085
11,Z1_NO_sideL35_M,-0.01463675709817465
24,Z3_NO_NPR_V,-0.017411446862860287
5,ECI_IB_4_N1,-0.01763477986261476
20,Z3_NO_UCR_N1,-0.020307936307481306
19,Z3_NO_UCR_S,-0.029665764664409403
21,ECI_NO_UCR_CV,-0.03184738551806962
26,Pb_NO_PCR_V,-0.03536921533231769
0,IP_ES_25_N1,-0.0434691056422081
25,IP_NO_PLR_S,-0.08607609417222879
